"","text","created"
"139","You just can’t win with the Fake News Media. A big story today is that because I have pushed so hard and gotten Gas… https://t.co/YG5IvhTSSJ",2018-11-22
"140","Brutal and Extended Cold Blast could shatter ALL RECORDS - Whatever happened to Global Warming?",2018-11-22
"141","“79% of these decisions have been overturned in the 9th Circuit.” @FoxNews  A terrible, costly and dangerous disgra… https://t.co/0fvZgB3qwG",2018-11-21
"142","There are a lot of CRIMINALS in the Caravan. We will stop them. Catch and Detain! Judicial Activism, by people who… https://t.co/BwGiNXe6R0",2018-11-21
"143","“Thank you to President Trump on the Border. No American President has ever done this before.” Hector Garza, National Border Patrol Council",2018-11-21
"144",".....are so many opposing view (on Border and Safety) cases filed there, and why are a vast number of those cases o… https://t.co/JlyYHGX2SR",2018-11-21
"145","Sorry Chief Justice John Roberts, but you do indeed have “Obama judges,” and they have a much different point of vi… https://t.co/gIByfadPmu",2018-11-21
"146","Great new book out, “Mad Politics: Keeping Your Sanity in a World Gone Crazy” by @RealDrGina Loudon. Go out and get… https://t.co/yWaBUwHob1",2018-11-21
"147","“‘Trump Imitation Syndrome’ is afflicting the president’s liberal enemies” 

Thank you @MGoodwin_NYPost! https://t.co/KpmsrKCaBZ",2018-11-21
"148","MAKE AMERICA GREAT AGAIN!",2018-11-21
"149","Oil prices getting lower. Great! Like a big Tax Cut for America and the World. Enjoy! $54, was just $82. Thank you… https://t.co/gbyx8NXe1f",2018-11-21
"150","AMERICA FIRST!",2018-11-21
"151","So-called comedian Michelle Wolf bombed so badly last year at the White House Correspondents’ Dinner that this year… https://t.co/L5Vy354N6K",2018-11-21
"152","I hope the discovery and eventual recovery of the Argentine submarine San Juan brings needed closure to the wonderf… https://t.co/JK9pu1hoHv",2018-11-20
"153","The Fake News is showing old footage of people climbing over our Ocean Area Fence. This is what it really looks lik… https://t.co/oH4qCb1x4P",2018-11-19
"154","....We no longer pay Pakistan the $Billions because they would take our money and do nothing for us, Bin Laden bein… https://t.co/ePHdS3WmzG",2018-11-19
"155","Of course we should have captured Osama Bin Laden long before we did. I pointed him out in my book just BEFORE the… https://t.co/xbUMNwWgHj",2018-11-19
"156",".@cindyhydesmith loves Mississippi and our Great U.S.A. https://t.co/hQPC4CrhDi",2018-11-19
"157","From day one Rick Scott never wavered. He was a great Governor and will be even a greater Senator in representing t… https://t.co/RMgWOQR2uN",2018-11-18
"158","Catch and Release is an obsolete term. It is now Catch and Detain. Illegal Immigrants trying to come into the U.S.A… https://t.co/aJOnUS1dVO",2018-11-18
"159","The Mayor of Tijuana, Mexico, just stated that “the City is ill-prepared to handle this many migrants, the backlog… https://t.co/3pknZ3OT9V",2018-11-18
"160","So funny to see little Adam Schitt (D-CA) talking about the fact that Acting Attorney General Matt Whitaker was not… https://t.co/iUe5HWLVES",2018-11-18
"161","I will be interviewed by Chris Wallace on @FoxNews at 2:00 P.M. and 7:00 P.M. Enjoy!",2018-11-18
"162","Incredible to be with our GREAT HEROES today in California. We will always be with you! https://t.co/B1MCTF83Zf",2018-11-18
"163","Heading to California with @GOPLeader Kevin McCarthy, @RepLaMalfa, and @KenCalvert. Look forward to being with our… https://t.co/ywkoCW7dbE",2018-11-17
"164","....I can’t imagine any President having a better or closer relationship with their Vice President then the two of… https://t.co/R3ymvcwGYr",2018-11-17
"165","The New York Times did a phony story, as usual, about my relationship with @VP Mike Pence. They made up sources and… https://t.co/w1aUmqrTYx",2018-11-17
"166","Congratulations to Andrew Gillum on having run a really tough and competitive race for Governor of the Great State… https://t.co/zFzIG6FQmZ",2018-11-17
"167","I can get Nancy Pelosi as many votes as she wants in order for her to be Speaker of the House. She deserves this vi… https://t.co/KiXwdFt4XQ",2018-11-17
